month,month_name,regime,policy,picking_workers,packing_workers,dispatch_workers,total_workers,total_orders,urgent_orders,normal_orders,urgent_share,total_sla,urgent_sla,normal_sla,mean_system_time_min,p90_system_time_min,urgent_late_orders,normal_late_orders,completed_orders,unfinished_orders,unfinished_urgent_orders,unfinished_normal_orders,backlog_share,estimated_late_cost,estimated_worker_cost,estimated_total_cost,savings_total_cost_vs_fifo_same_month_regime,savings_total_cost_vs_urgent_first_same_month_regime,p_urgent_overall,p_urgent_pick,p_urgent_pack,p_urgent_dispatch,decisions_total,decisions_pick,decisions_pack,decisions_dispatch,cost_late_urgent,cost_late_normal,worker_cost_per_hour,hours_per_worker_month,feasible,urgent_sla_target,normal_sla_target,sla_violation,scenario_seed,picking_utilisation,picking_avg_wait_min,picking_p95_wait_min,picking_avg_queue_len,picking_max_queue_len,picking_late_wait_share,picking_pressure_score,packing_utilisation,packing_avg_wait_min,packing_p95_wait_min,packing_avg_queue_len,packing_max_queue_len,packing_late_wait_share,packing_pressure_score,dispatch_utilisation,dispatch_avg_wait_min,dispatch_p95_wait_min,dispatch_avg_queue_len,dispatch_max_queue_len,dispatch_late_wait_share,dispatch_pressure_score
1,January,s17_10_6,urgent_first,17,10,6,33,31200,6250,24950,0.2003,0.9556410256410256,0.99984,0.9445691382765531,107.18764668594379,469.90224014166665,1.0,1383.0,29816,1384,1,1383,0.0444,6935.0,79200.0,86135.0,27960.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.7663,98.07,734.95,323.94,1533,0.9932,0.9052,0.7444,1.05,3.18,3.305,33,0.0068,0.3017,0.6639,0.13,0.6,0.403,8,0.0,0.2659
1,January,s17_10_6,rl3_dqn,17,10,6,33,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,79200.0,327700.0,-213605.0,-241565.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0585,3179.12,5741.22,14041.444,29112,0.9999,0.6234,0.0612,0.42,2.31,0.091,3,0.0001,0.0246,0.0557,0.02,0.12,0.004,1,0.0,0.0223
1,January,s16_11_6,fifo,16,11,6,33,31200,6250,24950,0.2003,0.9056089743589744,0.70992,0.9546292585170341,135.21729758334675,328.84279569333336,1813.0,1132.0,29789,1411,279,1132,0.0452,41920.0,79200.0,121120.0,0.0,-34155.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.2401,124,0.8128,127.14,359.37,408.926,1747,0.9993,0.925,0.6751,0.09,0.58,0.287,8,0.0003,0.2706,0.6617,0.13,0.63,0.41,9,0.0004,0.2653
1,January,s16_11_6,urgent_first,16,11,6,33,31200,6250,24950,0.2003,0.9503205128205128,0.99984,0.9379158316633267,135.45632177246873,525.81505375,1.0,1549.0,29771,1429,1,1428,0.0458,7765.0,79200.0,86965.0,34155.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8129,127.28,815.64,414.606,1779,0.9999,0.9251,0.676,0.1,0.62,0.323,10,0.0001,0.2707,0.6629,0.15,0.7,0.467,9,0.0001,0.2656
1,January,s16_11_6,rl3_dqn,16,11,6,33,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,79200.0,327700.0,-206580.0,-240735.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0622,3179.12,5741.22,14041.444,29112,0.9999,0.6248,0.0556,0.42,2.31,0.091,3,0.0001,0.0224,0.0557,0.02,0.12,0.004,1,0.0,0.0223
1,January,s15_9_5,fifo,15,9,5,29,31200,6250,24950,0.2003,0.8876282051282052,0.62656,0.9530260521042084,176.53242205720684,382.0583691683333,2334.0,1172.0,29738,1462,290,1172,0.0469,52540.0,69600.0,122140.0,0.0,-42615.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.3234,124,0.8655,167.74,434.9,534.907,2007,0.9974,0.9457,0.8236,0.59,1.82,1.842,21,0.0017,0.3313,0.7926,0.33,1.05,1.015,12,0.0009,0.3181
1,January,s15_9_5,urgent_first,15,9,5,29,31200,6250,24950,0.2003,0.9364743589743589,0.99984,0.9206012024048096,177.12165793362948,731.1744444366675,1.0,1981.0,29714,1486,1,1485,0.0476,9925.0,69600.0,79525.0,42615.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8656,167.91,944.71,540.481,2036,0.9995,0.9461,0.8246,0.83,2.5,2.59,28,0.0004,0.3313,0.7941,0.4,1.2,1.228,16,0.0002,0.3183
1,January,s15_9_5,rl3_dqn,15,9,5,29,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,69600.0,318100.0,-195960.0,-238575.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0663,3179.12,5741.22,14041.444,29112,0.9999,0.6265,0.068,0.42,2.31,0.091,3,0.0001,0.0273,0.0668,0.02,0.12,0.004,1,0.0,0.0267
1,January,s15_10_4,fifo,15,10,4,29,31200,6250,24950,0.2003,0.7972756410256411,0.31456,0.9181963927855712,371.5204352721074,733.2827956833333,4284.0,2041.0,28651,2549,508,2041,0.0817,95885.0,69600.0,165485.0,0.0,-74530.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.6354,124,0.8655,167.74,434.9,534.907,2007,0.496,0.7952,0.7413,0.15,0.8,0.462,9,0.0004,0.2971,0.9542,191.47,507.65,591.794,1675,0.5037,0.8824
1,January,s15_10_4,urgent_first,15,10,4,29,31200,6250,24950,0.2003,0.8632051282051282,0.99984,0.8289779559118237,297.406471887965,1013.9255196999998,1.0,4267.0,28503,2697,1,2696,0.0864,21355.0,69600.0,90955.0,74530.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8656,167.91,944.71,540.481,2036,0.387,0.8001,0.7425,0.16,0.8,0.493,11,0.0002,0.2974,0.9542,118.32,873.11,641.125,1755,0.6128,0.8853
